,run,epoch,f1-score
0,0,0,0.8070109795851372
1,0,1,0.7962959592734205
2,0,2,0.7912166511694443
3,0,3,0.7900146331266114
4,0,4,0.7909545840808234
5,1,0,0.8070109795851372
6,1,1,0.7962959592734205
7,1,2,0.7912166511694443
8,1,3,0.7900146331266114
9,1,4,0.7909545840808234
10,2,0,0.8070109795851372
11,2,1,0.7962959592734205
12,2,2,0.7912166511694443
13,2,3,0.7900146331266114
14,2,4,0.7909545840808234
15,3,0,0.8070109795851372
16,3,1,0.7962959592734205
17,3,2,0.7912166511694443
18,3,3,0.7900146331266114
19,3,4,0.7909545840808234
20,4,0,0.8070109795851372
21,4,1,0.7962959592734205
22,4,2,0.7912166511694443
23,4,3,0.7900146331266114
24,4,4,0.7909545840808234
